tmfreqs:, k index, k1, k2, k3, kmag/2pi, tm band 1, tm band 2, tm band 3, tm band 4, tm band 5, tm band 6, tm band 7, tm band 8
tmfreqs:, 40, 0.5, 0.28, 0, 0.501199, 0.224429, 0.389063
tmfreqs:, 41, 0.5, 0.3, 0, 0.503322, 0.224786, 0.387195
tmfreqs:, 42, 0.5, 0.32, 0, 0.506491, 0.225297, 0.384749
tmfreqs:, 43, 0.5, 0.34, 0, 0.510686, 0.225933, 0.381982
tmfreqs:, 44, 0.5, 0.36, 0, 0.515881, 0.226659, 0.37911
tmfreqs:, 45, 0.5, 0.38, 0, 0.522047, 0.227431, 0.376305
tmfreqs:, 46, 0.5, 0.4, 0, 0.52915, 0.228203, 0.373706
tmfreqs:, 47, 0.5, 0.42, 0, 0.537153, 0.228924, 0.371425
tmfreqs:, 48, 0.5, 0.44, 0, 0.546016, 0.229546, 0.369553
tmfreqs:, 49, 0.5, 0.46, 0, 0.555698, 0.230026, 0.368163
tmfreqs:, 50, 0.5, 0.48, 0, 0.566157, 0.230329, 0.367307
tmfreqs:, 51, 0.5, 0.5, 0, 0.57735, 0.230433, 0.367018
tmfreqs:, 52, 0.48, 0.48, 0, 0.554256, 0.22968, 0.367547
tmfreqs:, 53, 0.46, 0.46, 0, 0.531162, 0.227456, 0.369101
tmfreqs:, 54, 0.44, 0.44, 0, 0.508068, 0.223858, 0.371585
tmfreqs:, 55, 0.42, 0.42, 0, 0.484974, 0.219023, 0.37487
tmfreqs:, 56, 0.4, 0.4, 0, 0.46188, 0.213104, 0.378809
tmfreqs:, 57, 0.38, 0.38, 0, 0.438786, 0.206251, 0.383263
tmfreqs:, 58, 0.36, 0.36, 0, 0.415692, 0.198597, 0.388108
tmfreqs:, 59, 0.34, 0.34, 0, 0.392598, 0.190261, 0.39324
tmfreqs:, 60, 0.32, 0.32, 0, 0.369504, 0.181339, 0.398571
tmfreqs:, 61, 0.3, 0.3, 0, 0.34641, 0.171913, 0.404033
tmfreqs:, 62, 0.28, 0.28, 0, 0.323316, 0.162052, 0.409567
tmfreqs:, 63, 0.26, 0.26, 0, 0.300222, 0.15181, 0.415127
tmfreqs:, 64, 0.24, 0.24, 0, 0.277128, 0.141238, 0.420668
tmfreqs:, 65, 0.22, 0.22, 0, 0.254034, 0.130376, 0.426152
tmfreqs:, 66, 0.2, 0.2, 0, 0.23094, 0.119259, 0.431538
tmfreqs:, 67, 0.18, 0.18, 0, 0.207846, 0.107921, 0.436781
tmfreqs:, 68, 0.16, 0.16, 0, 0.184752, 0.0963889, 0.441832
tmfreqs:, 69, 0.14, 0.14, 0, 0.161658, 0.0846898, 0.446631
tmfreqs:, 70, 0.12, 0.12, 0, 0.138564, 0.0728477, 0.451107
tmfreqs:, 71, 0.1, 0.1, 0, 0.11547, 0.0608854, 0.455174
tmfreqs:, 72, 0.08, 0.08, 0, 0.092376, 0.0488245, 0.458733
tmfreqs:, 73, 0.06, 0.06, 0, 0.069282, 0.0366857, 0.461674
tmfreqs:, 74, 0.04, 0.04, 0, 0.046188, 0.0244891, 0.463881
tmfreqs:, 75, 0.02, 0.02, 0, 0.023094, 0.0122541, 0.465254
tmfreqs:, 76, 0, 0, 0, 0, 0, 0.465721
tmfreqs:, k index, k1, k2, k3, kmag/2pi, tm band 1, tm band 2
tmfreqs:, 1, 0, 0, 0, 0, 0, 0.375949
tmfreqs:, 2, 0.02, 0, 0, 0.023094, 0.0095792, 0.375559
tmfreqs:, 3, 0.04, 0, 0, 0.046188, 0.0191508, 0.374356
tmfreqs:, 4, 0.06, 0, 0, 0.069282, 0.0287071, 0.372399
tmfreqs:, 5, 0.08, 0, 0, 0.092376, 0.0382404, 0.369762
tmfreqs:, 6, 0.1, 0, 0, 0.11547, 0.0477425, 0.366526
tmfreqs:, 7, 0.12, 0, 0, 0.138564, 0.0572052, 0.362772
tmfreqs:, 8, 0.14, 0, 0, 0.161658, 0.0666197, 0.358577
tmfreqs:, 9, 0.16, 0, 0, 0.184752, 0.0759766, 0.354008
tmfreqs:, 10, 0.18, 0, 0, 0.207846, 0.085266, 0.349122
tmfreqs:, 11, 0.2, 0, 0, 0.23094, 0.0944768, 0.343968
tmfreqs:, 12, 0.22, 0, 0, 0.254034, 0.103596, 0.338586
